ORDEREXTERNALID,TASK_INSTANCE_ID,TASK_NAME,Tasks,STATUS,CREATED_DTTM,PRODUCTSPEC,SWIFT STATUS,Task Status changed to,Read Swift status
552794012,AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-OLINE-1-6,Get Path from MESH,Get Path from MESH,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552798070,AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-OLINE-1-6,Get Path from MESH,Get Path from MESH,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552755011,AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-CREATE-HEADLESS-DIA-1-4,Get Transport from ASRI,Get Transport from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552794012,AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-DIA-1-3,Get Transport from ASRI,Get Transport from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552797237,AP-EXT-552797237-4377329-MON-2-0-1001-xVC-343510566-1-1-CREATE-XVC-SL-1-CREATE-Elynk-TL-1-GATHER-ELYNK-1-1-4,Get Transport from ASRI,Get Transport from ASRI,In-Progress,2-Sep-22,E-Line,Closed,Completed,Closed
552798070,AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-HEADLESS-DIA-1-4,Get Transport from ASRI,Get Transport from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552708975,AP-EXT-552708975-4368505-MON-1-0-1001-NTA-343161029-1-10009-100091,Get UNI from ASRI,Get UNI from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552727051,AP-EXT-552727051-4325042-MON-1-0-DIA-343221626-1-CREATE-HEADLESS-DIA-1-2,Get UNI from ASRI,Get UNI from ASRI,In-Progress,2-Sep-22,INTERNET,Closed,Completed,Closed
552755011,AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-CREATE-HEADLESS-DIA-1-2,Get UNI from ASRI,Get UNI from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552755011,AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-CREATE-OLINE-1-2,Get UNI from ASRI,Get UNI from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552755011,AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-FIND-OLINE-1-2,Get UNI from ASRI,Get UNI from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552770224,AP-EXT-552770224-4376006-MON-1-0-1001-NTA-343161787-1-10009-100091,Get UNI from ASRI,Get UNI from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552791874,AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-CREATE-DIA-1-2,Get UNI from ASRI,Get UNI from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552791874,AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-CREATE-OLINE-1-2,Get UNI from ASRI,Get UNI from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552791874,AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-FIND-OLINE-1-2,Get UNI from ASRI,Get UNI from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552794012,AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-DIA-1-2,Get UNI from ASRI,Get UNI from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552794012,AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-OLINE-1-2,Get UNI from ASRI,Get UNI from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552794012,AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-FIND-OLINE-1-2,Get UNI from ASRI,Get UNI from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Cancelled
552797237,AP-EXT-552797237-4377329-MON-2-0-1001-xVC-343510566-1-1-CREATE-XVC-SL-1-CREATE-Elynk-TL-1-GATHER-ELYNK-2-1-2,Get UNI from ASRI,Get UNI from ASRI,In-Progress,2-Sep-22,E-Line,Closed,Completed,Closed
552798070,AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-HEADLESS-DIA-1-2,Get UNI from ASRI,Get UNI from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552798070,AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-OLINE-1-2,Get UNI from ASRI,Get UNI from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552798070,AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-FIND-OLINE-1-2,Get UNI from ASRI,Get UNI from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Cancelled
552834016,AP-EXT-552834016-4429561-MON-1-0-343539423-1-10009-100091,Get UNI from ASRI,Get UNI from ASRI,In-Progress,18-Oct-22,INTERNET,Closed,Completed,Closed
552843643,AP-EXT-552843643-4432731-MON-1-0-343746514-1-10009-100091,Get UNI from ASRI,Get UNI from ASRI,In-Progress,10-Oct-22,INTERNET,Closed,Completed,Closed
552839475,AP-EXT-552839475-4414778-MON-1-0-1001-xVC-343728276-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-1-e5325356-bdf9-4b7c-a4e8-cf5a9ff93f30,Rollback OvcEndpoint from ASRI,Rollback OvcEndpoint from ASRI,In-Progress,3-Sep-22,E-Access,Closed,Completed,Closed
552854931,AP-EXT-552854931-4430088-MON-1-0-1001-xVC-343795691-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-2-1-0219332b-b2b1-44ff-a095-b7eb36a88c92,Rollback OvcEndpoint from ASRI,Rollback OvcEndpoint from ASRI,Failed,4-Oct-22,E-Access,Closed,Completed,Closed
552755011,AP-EXT-552755011-4393739-MON-1-0-1001-UNI-343308603-1-CREATE-UNI-1-844b9f93-35f6-4f91-a2be-81cc95b360b0,Rollback Uni from ASRI,Rollback Uni from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552791874,AP-EXT-552791874-4387574-MON-1-0-1001-UNI-343236017-1-CREATE-UNI-1-bb92adcc-19d9-4ae0-87ea-8c4cea75b3eb,Rollback Uni from ASRI,Rollback Uni from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Cancelled
552794012,AP-EXT-552794012-4390874-MON-1-0-1001-UNI-343530165-1-CREATE-UNI-1-e7949bcb-bc63-409c-b51c-8ad2bd03a7fd,Rollback Uni from ASRI,Rollback Uni from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552798070,AP-EXT-552798070-4385590-MON-2-0-1001-UNI-343339229-1-CREATE-UNI-1-6e58c927-2ea8-4780-a1ff-ee99592ae649,Rollback Uni from ASRI,Rollback Uni from ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Closed
552596169,AP-EXT-552596169-4151905-MON-1-0-1001-xVC-342321248-1-1-CREATE-XVC-SL-1-CREATE-OLINE-2-1-11,Update OLine in ASRI,Update OLine in ASRI,Ready,13-Sep-22,E-Line,Closed,Completed,Cancelled
552791874,AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-CREATE-OLINE-1-11,Update OLine in ASRI,Update OLine in ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Cancelled
552794012,AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-OLINE-1-11,Update OLine in ASRI,Update OLine in ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Cancelled
552797237,AP-EXT-552797237-4377329-MON-2-0-1001-xVC-343510566-1-1-CREATE-XVC-SL-1-GATHER-ELYNK-OLINE-SL-1-1-CREATE-OLINE-1-1-11,Update OLine in ASRI,Update OLine in ASRI,In-Progress,2-Sep-22,E-Line,Closed,Completed,Cancelled
552798070,AP-EXT-552798070-4385590-MON-2-0-DIA-343339230-1-CREATE-OLINE-1-11,Update OLine in ASRI,Update OLine in ASRI,In-Progress,3-Sep-22,INTERNET,Closed,Completed,Cancelled
552838423,AP-EXT-552838423-4419958-MON-1-0-DIA-343708635-1-CREATE-OLINE-1-11,Update OLine in ASRI,Update OLine in ASRI,In-Progress,6-Sep-22,INTERNET,Closed,Completed,Cancelled
552585694,AP-EXT-552585694-4101091-MON-4-0-1-DELETE-XVC-TL-1-8,Deactivate E-AccessEvpl in ACT,Deactivate E-AccessEvpl in ACT,Failed,28-Sep-22,E-Access,Cancelled,Cancelled,Cancelled
552749394,AP-EXT-552749394-4315190-MON-2-0-1-DELETE-XVC-TL-1-8,Deactivate E-AccessEvpl in ACT,Deactivate E-AccessEvpl in ACT,Assigned,8-Sep-22,E-Access,Cancelled,Cancelled,Cancelled
